project_name,year_number,year,monthly_repayment_40_percent,monthly_repayment_60_percent,monthly_repayment_100_percent,total_repayment_40_percent,total_repayment_60_percent,yearly_repayment_40_percent,yearly_repayment_60_percent,remaining_amount_to_repay_40_percent,remaining_amount_to_repay_60_percent,estimated_rent,rent_60_percent_estimated_yearly,rent_40_percent_estimated_yearly,monthly_rent60_percent,monthly_rent40_percent,monthly_repayment_60_percent,monthly_repayment_40_percent,monthly_60_percent_cashflow,monthly_40_percent_cashflow,cashflow_yearly_60_percent,cashflow_yearly_40_percent,cashflow_year_x_60_percent,cashflow_year_x_40_percent
Appartement 2 pièces 58 m² Velpeau avec Garage et travaux compris ,1,2024,531.44,457.07,988.51,63773.4,109696.03,6377.34,5484.8,57396.06,104211.23,850,6120,4080,510,340,457.0666666666666667,531.445,52.9333333333333333,-191.445,635.2,-2297.34,635,-2297
Appartement 2 pièces 58 m² Velpeau avec Garage et travaux compris ,2,2025,531.44,457.07,988.51,63773.4,109696.03,6377.34,5484.8,51018.72,98726.43,850,6120,4080,510,340,457.0666666666666667,531.445,52.9333333333333333,-191.445,635.2,-2297.34,1270,-4594
Appartement 2 pièces 58 m² Velpeau avec Garage et travaux compris ,3,2026,531.44,457.07,988.51,63773.4,109696.03,6377.34,5484.8,44641.38,93241.63,850,6120,4080,510,340,457.0666666666666667,531.445,52.9333333333333333,-191.445,635.2,-2297.34,1905,-6891
Appartement 2 pièces 58 m² Velpeau avec Garage et travaux compris ,4,2027,531.44,457.07,988.51,63773.4,109696.03,6377.34,5484.8,38264.04,87756.83,850,6120,4080,510,340,457.0666666666666667,531.445,52.9333333333333333,-191.445,635.2,-2297.34,2540,-9188
Appartement 2 pièces 58 m² Velpeau avec Garage et travaux compris ,5,2028,531.44,457.07,988.51,63773.4,109696.03,6377.34,5484.8,31886.7,82272.03,850,6120,4080,510,340,457.0666666666666667,531.445,52.9333333333333333,-191.445,635.2,-2297.34,3175,-11485
Appartement 2 pièces 58 m² Velpeau avec Garage et travaux compris ,6,2029,531.44,457.07,988.51,63773.4,109696.03,6377.34,5484.8,25509.36,76787.22,850,6120,4080,510,340,457.0666666666666667,531.445,52.9333333333333333,-191.445,635.2,-2297.34,3810,-13782
Appartement 2 pièces 58 m² Velpeau avec Garage et travaux compris ,7,2030,531.44,457.07,988.51,63773.4,109696.03,6377.34,5484.8,19132.02,71302.42,850,6120,4080,510,340,457.0666666666666667,531.445,52.9333333333333333,-191.445,635.2,-2297.34,4445,-16079
Appartement 2 pièces 58 m² Velpeau avec Garage et travaux compris ,8,2031,531.44,457.07,988.51,63773.4,109696.03,6377.34,5484.8,12754.68,65817.62,850,6120,4080,510,340,457.0666666666666667,531.445,52.9333333333333333,-191.445,635.2,-2297.34,5080,-18376
Appartement 2 pièces 58 m² Velpeau avec Garage et travaux compris ,9,2032,531.44,457.07,988.51,63773.4,109696.03,6377.34,5484.8,6377.34,60332.82,850,6120,4080,510,340,457.0666666666666667,531.445,52.9333333333333333,-191.445,635.2,-2297.34,5715,-20673
Appartement 2 pièces 58 m² Velpeau avec Garage et travaux compris ,10,2033,531.44,457.07,988.51,63773.4,109696.03,6377.34,5484.8,0,54848.02,850,6120,4080,510,340,457.0666666666666667,531.445,52.9333333333333333,-191.445,635.2,-2297.34,6350,-22970
Appartement 2 pièces 58 m² Velpeau avec Garage et travaux compris ,11,2034,531.44,457.07,988.51,63773.4,109696.03,6377.34,5484.8,0,49363.22,850,6120,4080,510,340,457.0666666666666667,531.445,52.9333333333333333,-191.445,635.2,-2297.34,6985,4080
Appartement 2 pièces 58 m² Velpeau avec Garage et travaux compris ,12,2035,531.44,457.07,988.51,63773.4,109696.03,6377.34,5484.8,0,43878.41,850,6120,4080,510,340,457.0666666666666667,531.445,52.9333333333333333,-191.445,635.2,-2297.34,7620,8160
Appartement 2 pièces 58 m² Velpeau avec Garage et travaux compris ,13,2036,531.44,457.07,988.51,63773.4,109696.03,6377.34,5484.8,0,38393.61,850,6120,4080,510,340,457.0666666666666667,531.445,52.9333333333333333,-191.445,635.2,-2297.34,8255,12240
Appartement 2 pièces 58 m² Velpeau avec Garage et travaux compris ,14,2037,531.44,457.07,988.51,63773.4,109696.03,6377.34,5484.8,0,32908.81,850,6120,4080,510,340,457.0666666666666667,531.445,52.9333333333333333,-191.445,635.2,-2297.34,8890,16320
Appartement 2 pièces 58 m² Velpeau avec Garage et travaux compris ,15,2038,531.44,457.07,988.51,63773.4,109696.03,6377.34,5484.8,0,27424.01,850,6120,4080,510,340,457.0666666666666667,531.445,52.9333333333333333,-191.445,635.2,-2297.34,9525,20400
Appartement 2 pièces 58 m² Velpeau avec Garage et travaux compris ,16,2039,531.44,457.07,988.51,63773.4,109696.03,6377.34,5484.8,0,21939.21,850,6120,4080,510,340,457.0666666666666667,531.445,52.9333333333333333,-191.445,635.2,-2297.34,10160,24480
